"","term","estimate","conf.low","conf.high","tau"
"1","(Intercept)",-0.0129060866427586,-0.0148250704784906,-0.0118540638953701,0.05
"2","df_in[, -1]Diff_Index_1",-0.00064772219025551,-0.00254367275596655,0.000985047182107716,0.05
"3","df_in[, -1]Diff_Index_2",-0.00126210540890395,-0.00236350551076215,2.28316906758981e-05,0.05
"4","df_in[, -1]Diff_Index_3",0.000298449522662291,-0.0014246618267236,0.00129149402651173,0.05
"5","df_in[, -1]Diff_Index_4",-0.00124131707335054,-0.00297011125730232,-8.08658987389942e-05,0.05
"6","df_in[, -1]Diff_Index_5",-0.00108038069605118,-0.00283755373299204,0.00104485644593785,0.05
"7","df_in[, -1]Diff_Index_6",-0.000306980380172371,-0.00136841746835571,0.00247959235290162,0.05
"8","df_in[, -1]Diff_Index_7",0.00177307065815043,-0.00151901183672728,0.0028973604065483,0.05
"9","df_in[, -1]Diff_Index_8",0.00355649963962419,0.000460148693915436,0.00620240955718184,0.05
"10","df_in[, -1]Lag_1",-0.160432866742677,-0.816038092310457,0.299758927954409,0.05
"11","df_in[, -1]Lag_2",0.24247306203157,0.0776224527422106,0.382795342021461,0.05
"12","df_in[, -1]Lag_3",0.0875990462162186,0.0183372684890877,0.179453129824612,0.05
"13","df_in[, -1]Lag_4",0.0667907808190937,-0.0384351087916848,0.229733353031206,0.05
