Index,PG,MV CAViaR,MV CAViaR + AR,MV CAViaR + SAV,MV CAViaR + AS,SAV,Abs. Slope,Ind. GARCH,Adaptive
2010-01-05,0.00264329431301746,-0.0246049294326845,-0.0244349989559981,-0.0297501147836779,-0.0262020733523477,-0.0163202510465273,-0.0140415760865006,-0.0159087307384502,-0.0398309986019534
2010-01-06,0.000703870036578458,-0.0248292677874509,-0.0244769476390213,-0.0201970685256926,-0.0261964124054799,-0.0155988082684647,-0.0134650098361734,-0.0153666188291137,-0.0398493785669214
2010-01-07,0.0042127186440224,-0.0247729471049327,-0.0252824682027344,-0.0184403366043905,-0.0275857798785105,-0.0145605625338041,-0.012898331357139,-0.0148012755745084,-0.0398981771104029
2010-01-08,0.00332208319765126,-0.024796660880955,-0.0245436977591371,-0.0205567441238794,-0.0263211342525585,-0.0143124446399212,-0.0123958381969509,-0.0144290151828745,-0.0399638927119096
2010-01-11,0.00139555692459048,-0.0247744969996704,-0.0248796060989297,-0.0206040895380488,-0.0269000574011642,-0.0139111371966366,-0.0119872543313038,-0.0140153151466377,-0.0399787050652102
2010-01-12,-0.00937038701825443,-0.0247890343760434,-0.0250319408490386,-0.0185450345856948,-0.0271541591476307,-0.0131660265864072,-0.011419808602689,-0.0135327174752275,-0.0399903795677629
2010-01-13,0.00841128888323794,-0.0249419304702674,-0.0252246103445359,-0.011051587435645,-0.0249893871239352,-0.0140671279330659,-0.0132433066620679,-0.0139616617599791,-0.0400011659289715
2010-01-14,0.0027005159932223,-0.0246901287953688,-0.0248996703928985,-0.0231430595759429,-0.0269631435444343,-0.0146950742933553,-0.0128288462009819,-0.0140593454126977,-0.0400979060074811
2010-01-15,-0.0112875547251852,-0.0248283740362162,-0.0244766689838117,-0.0198079660375347,-0.0261962452605512,-0.0141354302910054,-0.012296918073141,-0.0137161099621183,-0.0401148560851441
2010-01-19,0.0124184262235483,-0.0249629790982543,-0.0253157097305203,-0.0103528532310796,-0.0251371042842868,-0.0153258434902921,-0.014507368773029,-0.0144228469250822,-0.040139100072195
2010-01-20,-0.0102209761660816,-0.0246287060429793,-0.0248694476597627,-0.0257767751937733,-0.0269328248154508,-0.0166172955404304,-0.0140625558349961,-0.0153772438261416,-0.0402114333027227
2010-01-21,-0.0194162752890206,-0.0250017709510599,-0.0248008552709333,-0.0111941152437261,-0.0242481206233697,-0.0172522095825015,-0.0160470250458609,-0.0165957178870694,-0.0404381010157955
2010-01-22,-0.0225442059062777,-0.025121462093778,-0.0250655904895698,-0.00499555305952306,-0.0246572981862212,-0.0203833310718736,-0.0199466346033086,-0.0200678953187469,-0.0405279249412811
2010-01-25,0.0051149889174793,-0.0250938053026344,-0.0257840630424126,-0.00208301903878485,-0.0258887745288949,-0.0236219547733406,-0.0244310249294086,-0.0237735323885994,-0.0405674911886584
2010-01-26,-0.00419954903783637,-0.0247524540060086,-0.0248160901222597,-0.0215488464133274,-0.0267995956115298,-0.0226362325108208,-0.0230906465529551,-0.0226065155389746,-0.0406085611999118
2010-01-27,0.00474605777701331,-0.0248856623600694,-0.024974284202812,-0.0150435672408189,-0.0245829456956047,-0.0215514307087534,-0.0227892130549439,-0.0214529388152794,-0.0406537947132546
2010-01-28,-0.011538587025032,-0.0247912516538009,-0.0245142525354201,-0.0207408951386621,-0.0262729104261276,-0.0206966396422385,-0.0215726101932701,-0.0204388815909871,-0.0406897696303607
2010-01-29,-0.0109283163495935,-0.024979860931429,-0.0251978055110129,-0.00985815511801027,-0.0249307770860154,-0.0214114495748343,-0.0231526298555894,-0.0206286693780273,-0.0407474724131423
2010-02-01,0.0154311401695892,-0.0249666877659366,-0.0252283014733104,-0.01017584790978,-0.0249871667029422,-0.0219203929771544,-0.0244638523724604,-0.0206588227498591,-0.0407881259961571
2010-02-02,0.0120304062081775,-0.0246158203763447,-0.0245407108041304,-0.029135143574723,-0.0263781302610423,-0.0233603276338429,-0.0232726645459529,-0.021820295355151,-0.0408394466074193
2010-02-03,-0.00499464300314134,-0.0246341766314241,-0.0248767594423325,-0.0251879819527913,-0.0269433828798908,-0.0239115061465432,-0.0221261161792953,-0.0219391552618328,-0.0413421893252629
