"","term","estimate","conf.low","conf.high","tau"
"1","(Intercept)",-0.0542561264812506,-0.0659504695081516,-0.0468246481062947,0.01
"2","df_in[, -1]Diff_Index_1",-0.00113573127846002,-0.00113573127846002,0.000160088665176095,0.01
"3","df_in[, -1]Diff_Index_2",0.000918776207926976,-0.00386557891868893,0.00242785853009303,0.01
"4","df_in[, -1]Diff_Index_3",-0.00138902608166874,-0.00553970290508047,0.0071244133146268,0.01
"5","df_in[, -1]Diff_Index_4",-0.00109296333922245,-0.00776679349075837,0.00758195272946305,0.01
"6","df_in[, -1]Lag_1",-0.088987840491206,-0.088987840491206,0.260045184647713,0.01
"7","df_in[, -1]Lag_2",-0.154312334486193,-0.58651100016152,-0.106061429925368,0.01
"8","df_in[, -1]Lag_3",0.532703235498467,-0.0452343604554862,0.556503561973186,0.01
"9","df_in[, -1]Lag_4",0.130761495240283,-0.0076144467832186,0.154165101141242,0.01
"10","df_in[, -1]Lag_5",0.0724323429138428,-0.0180865392771265,0.0964056067147478,0.01
"11","df_in[, -1]Lag_6",0.0483463587524157,-0.155186534723816,0.0677821923242574,0.01
"12","df_in[, -1]Lag_7",0.0400239002386864,0.0400239002386864,0.175377809561355,0.01
