"","term","estimate","conf.low","conf.high","tau"
"1","(Intercept)",-0.0187229275638736,-0.0237315779696095,-0.011971510721149,0.1
"2","df_in[, -1]Diff_Index_1",0.000933376760117878,-5.75542477898834e-05,0.00152706578516812,0.1
"3","df_in[, -1]Diff_Index_2",-0.00200059114927413,-0.00295201039634422,0.00144925912863849,0.1
"4","df_in[, -1]Diff_Index_3",0.00410977394648691,0.0011823088607478,0.00686767961578362,0.1
"5","df_in[, -1]Lag_1",-0.304525498366438,-0.434693257521606,0.0216104977235657,0.1
"6","df_in[, -1]Lag_2",0.212534729964662,-0.0413501994823511,0.332915622810775,0.1
"7","df_in[, -1]Lag_3",-0.0644056471992096,-0.169401203212873,0.0430066461259005,0.1
"8","df_in[, -1]Lag_4",0.0915195474609645,-0.164872138990587,0.300310610645159,0.1
"9","df_in[, -1]Lag_5",-0.225477817415163,-0.361501197787779,0.0759243076060318,0.1
"10","df_in[, -1]Lag_6",0.0258810652122765,-0.214275404207853,0.111936193663501,0.1
"11","df_in[, -1]Lag_7",0.122250850549018,-0.0656306074309437,0.269918328184632,0.1
"12","df_in[, -1]Lag_8",-0.0354785675653364,-0.242257410068898,0.165061854176797,0.1
"13","df_in[, -1]Pos_Val_for_Lag_1",0.00432140333807386,0.00172916677530275,0.00812777981994775,0.1
"14","df_in[, -1]Pos_Val_for_Lag_2",-0.00166610741315831,-0.00410926469321336,0.00153633932954369,0.1
"15","df_in[, -1]Pos_Val_for_Lag_3",0.00267456738731656,-0.00149722295119989,0.00476402459367433,0.1
"16","df_in[, -1]Pos_Val_for_Lag_4",0.000589984145903756,-0.00378311465959936,0.00374956993031266,0.1
"17","df_in[, -1]Pos_Val_for_Lag_5",0.00306998149236399,-0.000790782634905509,0.00695577946118208,0.1
"18","df_in[, -1]Pos_Val_for_Lag_6",0.00105981855015473,-0.00127622649465812,0.00426803555121822,0.1
"19","df_in[, -1]Pos_Val_for_Lag_7",-0.000480773238163856,-0.00352852557254152,0.00313446273296767,0.1
"20","df_in[, -1]Pos_Val_for_Lag_8",0.00297243900761712,-0.00131986165069324,0.00597343825213651,0.1
