"","term","estimate","conf.low","conf.high","tau"
"1","(Intercept)",-0.0114869745815688,-0.0133717398077002,-0.010438832183295,0.1
"2","df_in[, -1]Diff_Index_1",-0.00110605345106844,-0.00260675751922571,0.00204382797941365,0.1
"3","df_in[, -1]Lag_1",-0.178239488561942,-0.607124531830347,0.675263368867463,0.1
"4","df_in[, -1]Lag_2",0.259582120454556,-0.00853619900151463,0.345455974758534,0.1
"5","df_in[, -1]Lag_3",0.0499075943655394,-0.131763605228074,0.119505101109395,0.1
"6","df_in[, -1]Lag_4",0.134969770893981,-0.00350008887961455,0.247854487765893,0.1
"7","df_in[, -1]Lag_5",-0.0552430242577782,-0.2114958629232,0.172028986003179,0.1
"8","df_in[, -1]Lag_6",0.0863156941875963,-0.00300574815788579,0.186582869102524,0.1
"9","df_in[, -1]Lag_7",0.110718594570092,-0.0108258637113722,0.276147277429637,0.1
"10","df_in[, -1]Lag_8",0.024705083773907,-0.097522783995705,0.131124617803612,0.1
